block  confidence X1 Y1 X2 Y2 token
0 6 0.9990723133087158 547 603 640 635 circles
0 6 0.990799605846405 644 605 790 638 connected
0 6 0.9902886152267456 793 601 838 646 by
0 6 0.9994370341300964 836 601 937 640 dotted
0 6 0.9749751091003418 941 610 1080 642 segments;
0 6 0.9963994026184082 1085 608 1137 640 see
0 6 0.9798280596733093 1137 599 1201 640 Ref.
0 6 0.9999843835830688 1196 599 1228 629 54
0 6 0.9985228180885315 1231 603 1278 638 for
0 6 0.960233211517334 1281 610 1358 635 some
0 6 0.9979121088981628 1361 603 1459 635 details
0 6 0.9998687505722046 1462 612 1504 638 on
1 0 0.9988535642623901 197 670 270 704 their
1 0 0.8036877512931824 273 670 468 708 calculations).
1 0 0.9998847246170044 478 670 557 704 Since
1 0 0.7757478356361389 562 668 597 708 Ji
1 0 0.8120971918106079 604 674 634 706 =
1 0 0.9533439874649048 635 670 667 711 0,
1 0 0.9997242093086243 674 678 717 704 we
1 0 0.9999887943267822 720 672 790 704 note
1 0 0.7173305749893188 793 670 864 704 from
1 0 0.9679157137870789 869 668 924 713 Eq.
1 0 0.9911075234413147 929 668 977 713 (4)
1 0 0.9999959468841553 982 670 1047 704 that
1 0 0.21421004831790924 1050 661 1092 713 Oi
1 0 0.46002840995788574 1094 676 1125 704 =
1 0 0.28849464654922485 1125 668 1173 713 01.
2 0 0.9924077987670898 245 736 302 771 For
2 0 0.9988364577293396 305 734 335 775 B
2 0 0.9806253910064697 340 741 370 771 =
2 0 0.9871331453323364 375 736 408 775 0,
2 0 0.9999978542327881 415 739 494 771 there
2 0 0.9984887838363647 498 732 532 773 is
2 0 0.9988808035850525 534 745 577 771 no
2 0 0.9969761371612549 582 741 707 773 coupling
2 0 0.9924637079238892 717 741 833 766 between
2 0 0.9750060439109802 841 734 876 773 R
2 0 0.9703971743583679 878 736 937 771 and
2 0 0.3100620210170746 942 734 972 775 6
2 0 0.9664459824562073 976 736 1035 771 and
2 0 0.994807779788971 1042 736 1069 771 J
2 0 0.9983137845993042 1074 736 1158 777 keeps
2 0 0.9985976815223694 1162 736 1316 775 constantly
2 0 0.9697186946868896 1321 736 1404 777 equal
2 0 0.9998559951782227 1409 739 1449 773 to
2 0 0.9021764397621155 1450 734 1502 779 hji
2 1 0.9974526762962341 197 803 297 842 during
2 1 0.9999182224273682 300 801 353 837 the
2 1 0.9876389503479004 356 803 484 835 collision.
2 1 0.9995483756065369 496 803 604 842 Calling
2 1 0.5484459400177002 607 801 683 842 t(R1,
2 1 0.6848905086517334 687 799 740 844 R2)
2 1 0.9999904632568359 745 801 798 837 the
2 1 0.9967696666717529 803 803 873 835 time
2 1 0.9999673366546631 876 803 914 840 to
2 1 0.9988998174667358 916 805 957 844 go
2 1 0.9260829091072083 961 803 1032 835 from
2 1 0.9462876319885254 1040 801 1082 844 Ri
2 1 0.9998873472213745 1087 805 1123 837 to
2 1 0.9995929598808289 1127 801 1180 837 the
2 1 0.993337869644165 1183 803 1341 835 interaction
2 1 0.9901984930038452 1346 803 1439 842 region
2 1 0.997477114200592 1442 799 1504 840 and
3 0 0.8017579913139343 197 870 268 902 back
3 0 0.99997878074646 272 870 310 906 to
3 0 0.659641683101654 313 867 366 910 R2,
3 0 0.9958750605583191 371 876 415 904 we
3 0 0.9964943528175354 418 870 489 904 have
4 0 0.5313133001327515 825 977 874 1020 hji
4 1 0.7947202920913696 883 1001 962 1041 t(Ri,
4 1 0.7262001037597656 961 1001 1024 1041 R2).
5 0 0.41706734895706177 675 1003 713 1041 02
5 0 0.7324463129043579 717 1009 745 1037 -
5 0 0.5185216069221497 747 1001 791 1046 01
5 0 0.9997791647911072 790 1003 823 1041 +
6 0 0.8592671155929565 1439 1001 1500 1041 (13)
7 0 0.9975720047950745 247 1164 335 1205 Using
7 0 0.8994345664978027 337 1162 391 1205 Eq.
7 0 0.969854474067688 396 1162 453 1205 (4),
7 0 0.9997530579566956 456 1170 504 1200 we
7 0 0.9999043941497803 504 1164 574 1198 thus
7 0 0.9993330836296082 579 1170 664 1196 arrive
7 0 0.9987123012542725 670 1168 705 1196 at
8 0 0.9145885705947876 755 1276 806 1319 hji
9 0 0.44695204496383667 984 1276 1089 1314 uRshji
9 1 0.5451982617378235 1014 1321 1065 1357 Pil
10 0 0.5762128829956055 602 1293 645 1340 02
10 0 0.9979433417320251 645 1301 677 1332 =
10 0 0.7020763158798218 679 1295 720 1338 01
10 0 0.999215841293335 718 1297 753 1334 +
10 0 0.8490925431251526 810 1291 903 1340 t(Ri,
10 0 0.5136209726333618 888 1293 947 1338 Rz)
11 0 0.9992638230323792 1439 1295 1500 1338 (14)
12 0 0.9997491240501404 245 1463 315 1495 with
12 0 0.9669989943504333 322 1458 360 1499 Pi
12 0 0.9993138313293457 365 1460 448 1501 given
12 0 0.9998905658721924 451 1460 494 1499 by
12 0 0.9858942031860352 499 1460 552 1497 Eq.
12 0 0.8199665546417236 561 1463 612 1497 (5).
12 0 0.811240553855896 625 1460 705 1493 From
12 0 0.9872621893882751 710 1460 780 1501 Eqs.
12 0 0.9651510119438171 786 1460 833 1501 (7)
12 0 0.7979090809822083 836 1460 896 1495 and
12 0 0.999871015548706 903 1458 974 1501 (14),
12 0 0.9924474954605103 979 1460 1039 1495 and
12 0 0.9998711347579956 1044 1460 1097 1495 the
12 0 0.9990191459655762 1100 1460 1162 1495 fact
12 0 0.9999727010726929 1165 1460 1231 1495 that
12 0 0.5049498081207275 1235 1460 1314 1501 t(Ri,
12 0 0.5812437534332275 1314 1458 1369 1501 Rz)
12 0 0.8249447345733643 1376 1463 1445 1495 does
12 0 0.9999042749404907 1449 1463 1504 1495 not
13 0 0.9998507499694824 195 1527 303 1566 depend
13 0 0.9997784495353699 310 1531 350 1559 on
13 0 0.5455176830291748 353 1525 405 1570 01,
13 0 0.9998268485069275 408 1533 451 1559 we
13 0 0.9999533891677856 454 1527 551 1559 obtain
14 0 0.6260931491851807 766 1570 826 1611 002
14 1 0.9248180389404297 874 1602 896 1622 -
14 1 0.9994205236434937 908 1596 933 1624 1.
14 2 0.4188227653503418 768 1619 825 1662 001
14 2 0.9749218821525574 833 1645 859 1669 J1
15 0 0.9314035773277283 1439 1591 1502 1632 (15)
16 0 0.8808504343032837 249 1746 297 1783 002
16 0 0.958418607711792 250 1776 292 1804 001
16 0 0.9220625758171082 302 1774 328 1802 Ji
16 0 0.9993150234222412 337 1755 371 1793 is
16 0 0.9964070916175842 371 1755 542 1793 represented
16 0 0.9998030066490173 542 1755 581 1791 in
16 0 0.996347963809967 584 1753 645 1796 Fig.
16 0 0.9996218681335449 647 1753 677 1793 2
16 0 0.9606941342353821 677 1755 723 1791 for
16 0 0.999390721321106 727 1753 757 1796 B
16 0 0.7372033596038818 758 1761 790 1789 =
16 0 0.9994820952415466 793 1757 818 1789 0
16 0 0.999208390712738 820 1755 879 1789 and
16 0 0.9992152452468872 884 1755 937 1789 the
16 0 0.9797101020812988 941 1755 1019 1787 three
16 0 0.986011803150177 1024 1757 1115 1789 values
16 0 0.9894771575927734 1120 1757 1273 1796 previously
16 0 0.991124153137207 1278 1757 1439 1787 considered.
16 0 0.9999972581863403 1450 1755 1504 1789 For
16 1 0.99974125623703 200 1819 224 1854 B
16 1 0.9904500842094421 227 1821 312 1862 equal
16 1 0.9998594522476196 317 1819 375 1862 0.1,
16 1 0.9999974966049194 380 1821 434 1856 the
16 1 0.9995173215866089 438 1821 566 1860 coupling
16 1 0.9966360330581665 569 1819 602 1858 is
16 1 0.9819300770759583 605 1821 685 1856 small
16 1 0.9989331364631653 693 1821 752 1856 and
16 1 0.8423658013343811 760 1811 808 1845 002
16 1 0.4509613811969757 805 1836 843 1873 IJi
16 1 0.9504193067550659 853 1821 962 1862 slightly
16 1 0.997768759727478 969 1824 1102 1854 oscillates
16 1 0.888611376285553 1108 1824 1213 1856 around
16 1 0.9982267022132874 1221 1821 1251 1854 1.
16 1 0.9999663829803467 1266 1821 1321 1856 For
16 1 0.9990143775939941 1328 1821 1353 1858 B
16 1 0.9998212456703186 1358 1821 1441 1862 equal
16 1 0.9968612194061279 1447 1821 1504 1860 0.3,
16 2 0.9990707635879517 197 1888 252 1922 the
16 2 0.9989615678787231 255 1892 378 1925 coupling
16 2 0.9995017051696777 383 1886 416 1925 is
16 2 0.9991970658302307 418 1890 549 1929 stronger,
16 2 0.9998155236244202 556 1888 624 1922 thus
16 2 0.9984866380691528 627 1888 737 1927 leading
16 2 0.9998958110809326 742 1892 776 1920 to
16 2 0.9975844621658325 781 1890 944 1922 oscillations
16 2 0.9974466562271118 949 1890 1054 1922 around
16 2 0.9999066591262817 1062 1888 1085 1925 1
16 2 0.9892207980155945 1087 1886 1125 1922 of
16 2 0.9996441602706909 1125 1888 1216 1929 larger
16 2 0.9308019876480103 1221 1892 1376 1925 amplitude.
16 2 0.9999587535858154 1387 1888 1427 1922 In
16 2 0.9067636132240295 1432 1888 1502 1922 both
16 3 0.9999212026596069 199 1963 280 1989 cases,
16 3 0.999858021736145 287 1955 416 1993 however,
16 3 0.8042495250701904 423 1972 469 2006 001
16 3 0.558651328086853 425 1946 471 1980 002
16 3 0.30597031116485596 468 1970 508 2004 TJi
16 3 0.9987325072288513 512 1952 547 1991 is
16 3 0.9927085041999817 549 1955 634 1987 found
16 3 0.9999470710754395 640 1957 677 1989 to
16 3 0.9988293051719666 679 1955 722 1989 be
16 3 0.9168524146080017 725 1955 846 1993 positive.
16 3 0.9913253784179688 858 1955 957 1993 Hence,
16 3 0.999988317489624 964 1955 1017 1989 the
16 3 0.7600951790809631 1019 1955 1105 1987 SC-I
16 3 0.977776288986206 1113 1955 1173 1989 and
16 3 0.45529764890670776 1178 1955 1265 1987 SC-I+
16 3 0.9983221888542175 1271 1955 1436 1993 approaches
16 3 0.9894092082977295 1439 1955 1502 1987 lead
17 0 0.7028542160987854 760 1841 806 1875 001
18 0 0.9996360540390015 840 2056 861 2090 8
