word1,word2,word3,word4
sleeping,slept,singing,sang
sleeping,slept,sitting,sat
slowing,slowed,spending,spent
slowing,slowed,swimming,swam
singing,sang,running,ran
singing,sang,screaming,screamed
singing,sang,seeing,saw
singing,sang,selling,sold
singing,sang,shrinking,shrank
sitting,sat,slowing,slowed
sitting,sat,spending,spent
selling,sold,listening,listened
selling,sold,looking,looked
selling,sold,moving,moved
selling,sold,paying,paid
selling,sold,playing,played
selling,sold,reading,read
selling,sold,running,ran
selling,sold,saying,said
selling,sold,seeing,saw
shrinking,shrank,singing,sang
shrinking,shrank,sitting,sat
shrinking,shrank,sleeping,slept
shrinking,shrank,slowing,slowed
screaming,screamed,implementing,implemented
screaming,screamed,increasing,increased
screaming,screamed,looking,looked
screaming,screamed,moving,moved
screaming,screamed,paying,paid
screaming,screamed,playing,played
screaming,screamed,predicting,predicted
screaming,screamed,running,ran
screaming,screamed,saying,said
seeing,saw,shrinking,shrank
seeing,saw,singing,sang
seeing,saw,sitting,sat
seeing,saw,slowing,slowed
seeing,saw,spending,spent
seeing,saw,swimming,swam
running,ran,decreasing,decreased
running,ran,describing,described
running,ran,feeding,fed
running,ran,going,went
running,ran,looking,looked
running,ran,paying,paid
running,ran,predicting,predicted
saying,said,screaming,screamed
saying,said,seeing,saw
saying,said,selling,sold
saying,said,shrinking,shrank
saying,said,singing,sang
saying,said,sitting,sat
saying,said,sleeping,slept
saying,said,slowing,slowed
saying,said,spending,spent
saying,said,striking,struck
saying,said,swimming,swam
playing,played,listening,listened
playing,played,looking,looked
playing,played,paying,paid
predicting,predicted,reading,read
predicting,predicted,running,ran
predicting,predicted,saying,said
predicting,predicted,seeing,saw
predicting,predicted,shrinking,shrank
predicting,predicted,singing,sang
moving,moved,feeding,fed
moving,moved,hitting,hit
moving,moved,implementing,implemented
moving,moved,increasing,increased
moving,moved,jumping,jumped
moving,moved,listening,listened
moving,moved,looking,looked
paying,paid,running,ran
paying,paid,saying,said
listening,listened,increasing,increased
listening,listened,jumping,jumped
listening,listened,knowing,knew
looking,looked,moving,moved
looking,looked,paying,paid
looking,looked,predicting,predicted
looking,looked,running,ran
looking,looked,saying,said
looking,looked,seeing,saw
looking,looked,shrinking,shrank
jumping,jumped,swimming,swam
jumping,jumped,taking,took
jumping,jumped,thinking,thought
jumping,jumped,walking,walked
jumping,jumped,writing,wrote
jumping,jumped,dancing,danced
jumping,jumped,decreasing,decreased
jumping,jumped,describing,described
jumping,jumped,falling,fell
jumping,jumped,flying,flew
jumping,jumped,going,went
jumping,jumped,increasing,increased
knowing,knew,looking,looked
knowing,knew,paying,paid
knowing,knew,reading,read
knowing,knew,running,ran
knowing,knew,saying,said
knowing,knew,seeing,saw
hitting,hit,thinking,thought
hitting,hit,vanishing,vanished
hitting,hit,walking,walked
hitting,hit,dancing,danced
hitting,hit,decreasing,decreased
hitting,hit,describing,described
hitting,hit,falling,fell
hitting,hit,feeding,fed
hitting,hit,generating,generated
hitting,hit,going,went
implementing,implemented,increasing,increased
implementing,implemented,jumping,jumped
implementing,implemented,knowing,knew
implementing,implemented,listening,listened
going,went,spending,spent
going,went,swimming,swam
going,went,taking,took
going,went,thinking,thought
going,went,vanishing,vanished
going,went,walking,walked
going,went,writing,wrote
going,went,dancing,danced
going,went,decreasing,decreased
going,went,describing,described
going,went,enhancing,enhanced
going,went,falling,fell
going,went,generating,generated
hiding,hid,jumping,jumped
hiding,hid,listening,listened
hiding,hid,looking,looked
feeding,fed,swimming,swam
feeding,fed,taking,took
feeding,fed,vanishing,vanished
feeding,fed,dancing,danced
feeding,fed,decreasing,decreased
feeding,fed,describing,described
flying,flew,going,went
flying,flew,implementing,implemented
flying,flew,increasing,increased
flying,flew,jumping,jumped
flying,flew,knowing,knew
flying,flew,listening,listened
flying,flew,looking,looked
flying,flew,moving,moved
flying,flew,paying,paid
describing,described,spending,spent
describing,described,swimming,swam
describing,described,thinking,thought
describing,described,vanishing,vanished
describing,described,dancing,danced
describing,described,decreasing,decreased
enhancing,enhanced,feeding,fed
enhancing,enhanced,flying,flew
enhancing,enhanced,going,went
italy,italian,japan,japanese
italy,italian,england,english
norway,norwegian,italy,italian
norway,norwegian,japan,japanese
norway,norwegian,korea,korean
russia,russian,slovakia,slovakian
russia,russian,thailand,thai
russia,russian,ukraine,ukrainian
switzerland,swiss,poland,polish
switzerland,swiss,portugal,portuguese
switzerland,swiss,russia,russian
india,indian,israel,israeli
india,indian,japan,japanese
swim,swimming,run,running
swim,swimming,see,seeing
swim,swimming,slow,slowing
think,thinking,vanish,vanishing
think,thinking,code,coding
think,thinking,dance,dancing
think,thinking,debug,debugging
think,thinking,decrease,decreasing
sit,sitting,increase,increasing
sit,sitting,invent,inventing
sit,sitting,jump,jumping
sit,sitting,look,looking
sit,sitting,move,moving
sit,sitting,say,saying
sit,sitting,see,seeing
slow,slowing,write,writing
slow,slowing,code,coding
slow,slowing,dance,dancing
slow,slowing,debug,debugging
say,saying,increase,increasing
say,saying,invent,inventing
say,saying,look,looking
say,saying,move,moving
scream,screaming,see,seeing
scream,screaming,shuffle,shuffling
scream,screaming,swim,swimming
scream,screaming,vanish,vanishing
scream,screaming,walk,walking
scream,screaming,write,writing
play,playing,discover,discovering
play,playing,enhance,enhancing
play,playing,generate,generating
play,playing,go,going
play,playing,implement,implementing
play,playing,invent,inventing
play,playing,move,moving
predict,predicting,read,reading
predict,predicting,say,saying
predict,predicting,scream,screaming
predict,predicting,see,seeing
predict,predicting,shuffle,shuffling
predict,predicting,sit,sitting
predict,predicting,slow,slowing
predict,predicting,swim,swimming
predict,predicting,vanish,vanishing
predict,predicting,walk,walking
predict,predicting,write,writing
jump,jumping,think,thinking
jump,jumping,vanish,vanishing
jump,jumping,code,coding
jump,jumping,dance,dancing
jump,jumping,debug,debugging
jump,jumping,decrease,decreasing
jump,jumping,discover,discovering
jump,jumping,enhance,enhancing
jump,jumping,fly,flying
jump,jumping,go,going
jump,jumping,implement,implementing
jump,jumping,increase,increasing
jump,jumping,invent,inventing
listen,listening,move,moving
listen,listening,play,playing
listen,listening,read,reading
generate,generating,decrease,decreasing
generate,generating,describe,describing
generate,generating,discover,discovering
go,going,implement,implementing
go,going,increase,increasing
go,going,invent,inventing
go,going,jump,jumping
go,going,move,moving
go,going,read,reading
code,coding,decrease,decreasing
code,coding,discover,discovering
code,coding,enhance,enhancing
wide,widest,small,smallest
wide,widest,smart,smartest
wide,widest,strange,strangest
wide,widest,sweet,sweetest
wide,widest,tall,tallest
wide,widest,tasty,tastiest
wide,widest,warm,warmest
wide,widest,weird,weirdest
young,youngest,bad,worst
young,youngest,big,biggest
young,youngest,bright,brightest
young,youngest,cool,coolest
young,youngest,easy,easiest
weak,weakest,quick,quickest
weak,weakest,simple,simplest
weak,weakest,small,smallest
weak,weakest,strange,strangest
weak,weakest,strong,strongest
weak,weakest,tall,tallest
weak,weakest,tasty,tastiest
weak,weakest,warm,warmest
weird,weirdest,wide,widest
weird,weirdest,young,youngest
weird,weirdest,big,biggest
weird,weirdest,cool,coolest
tasty,tastiest,strange,strangest
tasty,tastiest,tall,tallest
warm,warmest,weak,weakest
warm,warmest,weird,weirdest
warm,warmest,wide,widest
warm,warmest,big,biggest
warm,warmest,bright,brightest
sweet,sweetest,old,oldest
sweet,sweetest,quick,quickest
sweet,sweetest,sharp,sharpest
sweet,sweetest,short,shortest
sweet,sweetest,strange,strangest
sweet,sweetest,strong,strongest
tall,tallest,tasty,tastiest
tall,tallest,warm,warmest
tall,tallest,weak,weakest
tall,tallest,weird,weirdest
tall,tallest,young,youngest
lucky,luckiest,cool,coolest
lucky,luckiest,dark,darkest
lucky,luckiest,fast,fastest
lucky,luckiest,great,greatest
lucky,luckiest,high,highest
lucky,luckiest,hot,hottest
lucky,luckiest,large,largest
lucky,luckiest,low,lowest
old,oldest,quick,quickest
old,oldest,simple,simplest
hot,hottest,bright,brightest
hot,hottest,fast,fastest
hot,hottest,good,best
large,largest,low,lowest
large,largest,old,oldest
large,largest,quick,quickest
large,largest,sharp,sharpest
large,largest,short,shortest
dark,darkest,tasty,tastiest
dark,darkest,warm,warmest
dark,darkest,weird,weirdest
dark,darkest,big,biggest
dark,darkest,bright,brightest
dark,darkest,cool,coolest
easy,easiest,fast,fastest
easy,easiest,good,best
easy,easiest,great,greatest
easy,easiest,high,highest
easy,easiest,hot,hottest
easy,easiest,large,largest
big,biggest,simple,simplest
big,biggest,slow,slowest
big,biggest,strange,strangest
big,biggest,strong,strongest
big,biggest,tall,tallest
big,biggest,tasty,tastiest
big,biggest,warm,warmest
big,biggest,weird,weirdest
big,biggest,wide,widest
bright,brightest,cold,coldest
bright,brightest,cool,coolest
bright,brightest,dark,darkest
bright,brightest,easy,easiest
bright,brightest,fast,fastest
bright,brightest,good,best
bright,brightest,great,greatest
wide,wider,tall,taller
wide,wider,tight,tighter
wide,wider,warm,warmer
young,younger,bad,worse
young,younger,big,bigger
young,younger,bright,brighter
young,younger,cool,cooler
young,younger,deep,deeper
warm,warmer,safe,safer
warm,warmer,sharp,sharper
warm,warmer,simple,simpler
warm,warmer,slow,slower
warm,warmer,smart,smarter
warm,warmer,strong,stronger
warm,warmer,tall,taller
warm,warmer,tight,tighter
weak,weaker,young,younger
weak,weaker,bad,worse
weak,weaker,big,bigger
weak,weaker,bright,brighter
weak,weaker,cheap,cheaper
weak,weaker,cool,cooler
tight,tighter,small,smaller
tight,tighter,smart,smarter
tight,tighter,strong,stronger
tough,tougher,weak,weaker
tough,tougher,wide,wider
tough,tougher,young,younger
tough,tougher,bright,brighter
high,higher,good,better
hot,hotter,low,lower
hot,hotter,old,older
hot,hotter,quick,quicker
hard,harder,cheap,cheaper
hard,harder,cold,colder
hard,harder,cool,cooler
hard,harder,deep,deeper
hard,harder,easy,easier
hard,harder,good,better
hard,harder,great,greater
heavy,heavier,high,higher
heavy,heavier,low,lower
sure,unsure,decided,undecided
sure,unsure,ethical,unethical
sure,unsure,impressive,unimpressive
sure,unsure,informative,uninformative
sure,unsure,known,unknown
sure,unsure,likely,unlikely
sure,unsure,possible,impossible
sure,unsure,possibly,impossibly
sure,unsure,rational,irrational
sure,unsure,reasonable,unreasonable
sure,unsure,responsible,irresponsible
tasteful,distasteful,acceptable,unacceptable
tasteful,distasteful,clear,unclear
possibly,impossibly,ethical,unethical
possibly,impossibly,impressive,unimpressive
possibly,impossibly,informative,uninformative
possibly,impossibly,likely,unlikely
possibly,impossibly,logical,illogical
possibly,impossibly,pleasant,unpleasant
productive,unproductive,rational,irrational
productive,unproductive,reasonable,unreasonable
productive,unproductive,responsible,irresponsible
productive,unproductive,sure,unsure
likely,unlikely,decided,undecided
likely,unlikely,ethical,unethical
likely,unlikely,impressive,unimpressive
likely,unlikely,informative,uninformative
logical,illogical,rational,irrational
logical,illogical,reasonable,unreasonable
logical,illogical,responsible,irresponsible
logical,illogical,sure,unsure
honest,dishonest,consistent,inconsistent
honest,dishonest,decided,undecided
honest,dishonest,ethical,unethical
impressive,unimpressive,informative,uninformative
impressive,unimpressive,informed,uninformed
impressive,unimpressive,likely,unlikely
impressive,unimpressive,logical,illogical
impressive,unimpressive,pleasant,unpleasant
impressive,unimpressive,possible,impossible
impressive,unimpressive,rational,irrational
impressive,unimpressive,reasonable,unreasonable
convenient,inconvenient,acceptable,unacceptable
convenient,inconvenient,clear,unclear
convenient,inconvenient,competitive,uncompetitive
convenient,inconvenient,consistent,inconsistent
convenient,inconvenient,convincing,unconvincing
decided,undecided,ethical,unethical
decided,undecided,fortunate,unfortunate
decided,undecided,impressive,unimpressive
decided,undecided,likely,unlikely
decided,undecided,pleasant,unpleasant
cairo,egypt,lisbon,portugal
cairo,egypt,ljubljana,slovenia
cairo,egypt,london,england
cairo,egypt,lusaka,zambia
cairo,egypt,managua,nicaragua
cairo,egypt,manama,bahrain
cairo,egypt,manila,philippines
canberra,australia,chisinau,moldova
canberra,australia,conakry,guinea
canberra,australia,copenhagen,denmark
canberra,australia,dakar,senegal
canberra,australia,damascus,syria
canberra,australia,dhaka,bangladesh
islamabad,pakistan,paris,france
islamabad,pakistan,oslo,norway
grandfather,grandmother,uncle,aunt
grandfather,grandmother,boy,girl
grandfather,grandmother,brother,sister
grandfather,grandmother,father,mother
grandpa,grandma,grandson,granddaughter
grandpa,grandma,his,her
grandpa,grandma,husband,wife
grandpa,grandma,policeman,policewoman
grandpa,grandma,prince,princess
king,queen,father,mother
king,queen,grandpa,grandma
king,queen,grandson,granddaughter
king,queen,groom,bride
king,queen,his,her
king,queen,husband,wife
man,woman,policeman,policewoman
man,woman,prince,princess
man,woman,son,daughter
man,woman,sons,daughters
man,woman,stepbrother,stepsister
man,woman,uncle,aunt
man,woman,boy,girl
man,woman,brother,sister
man,woman,brothers,sisters
stepson,stepdaughter,prince,princess
stepson,stepdaughter,son,daughter
stepson,stepdaughter,sons,daughters
stepson,stepdaughter,stepbrother,stepsister
stepson,stepdaughter,stepfather,stepmother
uncle,aunt,boy,girl
uncle,aunt,brother,sister
uncle,aunt,brothers,sisters
uncle,aunt,dad,mom
uncle,aunt,father,mother
uncle,aunt,grandfather,grandmother
uncle,aunt,grandpa,grandma
uncle,aunt,grandson,granddaughter
fortunate,fortunately,calm,calmly
fortunate,fortunately,complete,completely
fortunate,fortunately,efficient,efficiently
free,freely,furious,furiously
maharastra,india,kerala,india
maharastra,mumbai,odisha,bhubaneswar
maharastra,mumbai,assam,dispur
maharastra,mumbai,kerala,thiruvananthapuram
tripura,agartala,assam,dispur
tripura,agartala,odisha,bhubaneswar
algeria,dinar,russia,ruble
algeria,dinar,sweden,krona
algeria,dinar,iran,rial
argentina,peso,usa,dollar
argentina,peso,nigeria,naira
argentina,peso,iran,rial
argentina,peso,japan,yen
india,rupee,iran,rial
india,rupee,denmark,krone
